,Title,Artist,Year,Count
159,I'm Gonna Love You Through It,Martina McBride,2012,9
160,I'm Gonna Love You Through It,Martina McBride,2011,11
161,I Will Always Love You,Glee Cast,2012,1
162,We Found Love,Glee Cast,2012,1
163,How To Love,Lil Wayne,2011,24
164,Lessons In Love,Kaskade Featuring Neon Trees,2011,1
165,Got 2 Luv U,Sean Paul Featuring Alexis Jordan,2011,6
166,Love Don't Run,Steve Holy,2011,7
167,Love Done Gone,Billy Currington,2011,15
168,I Love You This Big,Scotty McCreery,2011,16
169,Best Love Song,T-Pain Featuring Chris Brown,2011,20
170,So In Love,Jill Scott Featuring Anthony Hamilton,2011,1
171,"I Love New York / New York, New York",Glee Cast,2011,1
172,I Can't Love You Back,Easton Corbin,2011,11
173,Love Faces,Trey Songz,2011,16
174,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,22
175,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2010,3
176,Isn't She Lovely,Glee Cast,2011,1
177,Stereo Love,Edward Maya & Vika Jigulina,2011,18
178,Stereo Love,Edward Maya & Vika Jigulina,2010,10
179,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011,12
180,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010,22
181,Somebody To Love,Glee Cast,2011,1
182,Somebody To Love,Glee Cast,2009,3
183,Silly Love Songs,Glee Cast,2011,1
184,Rhythm of Love,Plain White T's,2011,8
185,Rhythm of Love,Plain White T's,2010,13
186,No Love,Eminem Featuring Lil Wayne,2011,5
187,No Love,Eminem Featuring Lil Wayne,2010,15
188,Love The Way You Lie,Eminem Featuring Rihanna,2011,4
189,Love The Way You Lie,Eminem Featuring Rihanna,2010,25
190,Love Like Woe,The Ready Set,2011,3
191,Love Like Woe,The Ready Set,2010,18
192,Loving You No More,Diddy - Dirty Money Featuring Drake,2011,1
193,Loving You No More,Diddy - Dirty Money Featuring Drake,2010,1
194,When A Woman Loves,R. Kelly,2011,1
195,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,2011,1
196,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,2010,19
197,This Ain't No Love Song,Trace Adkins,2010,6
198,Stop! In The Name Of Love / Free Your Mind,Glee Cast,2010,1
199,One Love (People Get Ready),Glee Cast,2010,1
200,Love All Over Me,Monica,2010,17
201,If It's Love,Train,2010,20
202,Our Kind Of Love,Lady Antebellum,2010,20
203,Your Love,Nicki Minaj,2010,20
204,Find Your Love,Drake,2010,21
205,What I Did For Love,Glee Cast,2010,1
206,Love Like Crazy,Lee Brice,2010,20
207,Somebody To Love,Justin Bieber Featuring Usher,2010,18
208,"Lover, Lover",Jerrod Niemann,2010,20
209,Dumb Love,Sean Kingston,2010,1
210,Your Love Is My Drug,Ke$ha,2010,28
211,I Keep On Loving You,Reba,2010,10
212,Any Way You Want It/Lovin' Touchin' Squeezin',Glee Cast,2010,1
213,To Sir With Love,Glee Cast,2010,1
214,Keep On Lovin' You,Steel Magnolia,2010,15
215,Neutron Star Collision (Love Is Forever),Muse,2010,1
216,Love King,The-Dream,2010,3
217,"Hello, I Love You",Glee Cast,2010,1
218,Soldier Of Love,Sade,2010,11
219,Gangsta Luv,Snoop Dogg Featuring The-Dream,2010,11
220,Gangsta Luv,Snoop Dogg Featuring The-Dream,2009,8
221,Didn't You Know How Much I Loved You,Kellie Pickler,2010,2
222,Ready To Love Again,Lady Antebellum,2010,1
223,Love This Pain,Lady Antebellum,2010,1
224,Love Me,Justin Bieber,2010,1
225,Love Me,Justin Bieber,2009,3
226,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,2009,20
227,Endless Love,Glee Cast,2009,1
228,Only You Can Love Me This Way,Keith Urban,2009,19
229,Love Drunk,Boys Like Girls,2009,20
230,I Want To Know What Love Is,Mariah Carey,2009,6
231,Love Your Love The Most,Eric Church,2009,16
232,Closer To Love,Mat Kearney,2009,7
233,LoveGame,Lady Gaga,2009,22
234,She Is Love,Parachute,2009,7
235,When Love Takes Over,David Guetta Featuring Kelly Rowland,2009,9
236,Love Story,Taylor Swift,2009,35
237,Love Story,Taylor Swift,2008,14
238,I Love College,Asher Roth,2009,17
239,Always The Love Songs,Eli Young Band,2009,11
240,If This Isn't Love,Jennifer Hudson,2009,13
241,Love Sex Magic,Ciara Featuring Justin Timberlake,2009,12
242,Don't Think I Can't Love You,Jake Owen,2009,15
243,River Of Love,George Strait,2009,18
244,River Of Love,George Strait,2008,2
245,My Love,The-Dream Featuring Mariah Carey,2009,4
246,God Love Her,Toby Keith,2009,16
247,God Love Her,Toby Keith,2008,4
248,Love Who You Love,Rascal Flatts,2009,1
249,Love Is On Its Way,Jonas Brothers,2009,1
250,Love Lockdown,Kanye West,2009,10
251,Love Lockdown,Kanye West,2008,13
252,Love Remains The Same,Gavin Rossdale,2009,3
253,Love Remains The Same,Gavin Rossdale,2008,28
254,Lovebug,Jonas Brothers,2009,2
255,Lovebug,Jonas Brothers,2008,12
256,Love Remembers,Craig Morgan,2008,9
257,The Way I Loved You,Taylor Swift,2008,1
258,Bleeding Love,Leona Lewis,2008,39
259,I Luv Your Girl,The-Dream,2008,20
260,I'll Be Lovin' U Long Time,Mariah Carey,2008,8
261,Teenage Love Affair,Alicia Keys,2008,16
262,Love Song,Sara Bareilles,2008,34
263,Love Song,Sara Bareilles,2007,7
264,In Love With A Girl,Gavin DeGraw,2008,23
265,Love In This Club,Usher Featuring Young Jeezy,2008,25
266,Love In This Club Part II,Usher Featuring Beyonce & Lil Wayne,2008,14
267,Just Got Started Lovin' You,James Otto,2008,20
268,The Way That I Love You,Ashanti,2008,18
269,Love Don't Live Here,Lady Antebellum,2008,18
270,Love Is A Beautiful Thing,Phil Vassar,2008,17
271,Love Is Gone,David Guetta & Chris Willis,2008,1
272,Love Is Free,Sheryl Crow,2008,6
273,Love Like This,Natasha Bedingfield Featuring Sean Kingston,2008,11
274,Love Like This,Natasha Bedingfield Featuring Sean Kingston,2007,9
275,Hate That I Love You,Rihanna Featuring Ne-Yo,2008,10
276,Hate That I Love You,Rihanna Featuring Ne-Yo,2007,16
277,I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,2008,6
278,I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,2007,15
279,Me Love,Sean Kingston,2008,1
280,Me Love,Sean Kingston,2007,17
281,Falling In Love At A Coffee Shop,Landon Pigg,2008,2
282,Livin' Our Love Song,Jason Michael Carroll,2008,1
283,Livin' Our Love Song,Jason Michael Carroll,2007,16
284,LoveStoned,Justin Timberlake,2007,20
285,Love Me If You Can,Toby Keith,2007,17
286,Summer Love,Justin Timberlake,2007,20
287,You Give Love A Bad Name,Blake Lewis,2007,4
288,A Woman's Love,Alan Jackson,2007,12
289,With Love,Hilary Duff,2007,9
290,Ladies Love Country Boys,Trace Adkins,2007,18
291,Ladies Love Country Boys,Trace Adkins,2006,2
292,I Wanna Love You,Akon Featuring Snoop Dogg,2007,17
293,I Wanna Love You,Akon Featuring Snoop Dogg,2006,12
294,Runaway Love,Ludacris Featuring Mary J. Blige,2007,15
295,Runaway Love,Ludacris Featuring Mary J. Blige,2006,5
296,Love Today,MIKA,2007,1
297,My Love,Justin Timberlake Featuring T.I.,2007,14
298,My Love,Justin Timberlake Featuring T.I.,2006,15
299,I Luv It,Young Jeezy,2007,10
300,I Luv It,Young Jeezy,2006,5
301,Love Like Winter,AFI,2007,4
302,Love Like Winter,AFI,2006,1
303,Love Me Or Hate Me (F**k You!!!!),Lady Sovereign,2007,2
304,Love Me Or Hate Me (F**k You!!!!),Lady Sovereign,2006,7
305,I Loved Her First,Heartland,2007,1
306,I Loved Her First,Heartland,2006,19
307,The Carpal Tunnel Of Love,Fall Out Boy,2006,1
308,I Call It Love,Lionel Richie,2006,20
309,Love You,Jack Ingram,2006,6
310,Sexy Love,Ne-Yo,2006,22
311,I Love My B****,Busta Rhymes Featuring will.i.am & Kelis,2006,12
312,DJ Play A Love Song,Jamie Foxx Featuring Twista,2006,14
313,I Can't Unlove You,Kenny Rogers,2006,5
314,Love,Keyshia Cole,2006,19
315,Beautiful Love,The Afters,2006,7
316,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006,19
317,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2005,1
318,Goodbye My Lover,James Blunt,2006,4
319,If It's Lovin' That You Want,Rihanna,2006,9
320,If It's Lovin' That You Want,Rihanna,2005,11
321,Like We Never Loved At All,Faith Hill,2006,8
