,Title,Artist,Year,Count
1068,Can'tcha Say (You Believe In Me)/Still In Love,Boston,1987,13
1069,That Ain't Love,REO Speedwagon,1987,14
1070,Brand New Lover,Dead Or Alive,1987,17
1071,Brand New Lover,Dead Or Alive,1986,5
1072,Will You Still Love Me?,Chicago,1987,16
1073,Will You Still Love Me?,Chicago,1986,7
1074,How Much Love,Survivor,1987,9
1075,Have You Ever Loved Somebody,Freddie Jackson,1987,9
1076,Love You Down,Ready For The World,1987,14
1077,Love You Down,Ready For The World,1986,5
1078,So Much For Love,The Venetians,1987,5
1079,Stop To Love,Luther Vandross,1987,12
1080,Stop To Love,Luther Vandross,1986,7
1081,Facts Of Love,Jeff Lorber & Karyn White,1987,12
1082,Facts Of Love,Jeff Lorber & Karyn White,1986,4
1083,Can't Help Falling In Love,Corey Hart,1987,11
1084,Can't Help Falling In Love,Corey Hart,1986,3
1085,Without Your Love,Toto,1987,10
1086,Without Your Love,Toto,1986,1
1087,Is This Love,Survivor,1987,9
1088,Is This Love,Survivor,1986,10
1089,Falling In Love (Uh-Oh),Miami Sound Machine,1987,7
1090,Falling In Love (Uh-Oh),Miami Sound Machine,1986,9
1091,You Give Love A Bad Name,Bon Jovi,1987,7
1092,You Give Love A Bad Name,Bon Jovi,1986,17
1093,I Need Your Loving,The Human League,1987,7
1094,I Need Your Loving,The Human League,1986,4
1095,Love Is Forever,Billy Ocean,1987,6
1096,Love Is Forever,Billy Ocean,1986,10
1097,To Be A Lover,Billy Idol,1987,5
1098,To Be A Lover,Billy Idol,1986,13
1099,You Know I Love You ... Don't You?,Howard Jones,1987,5
1100,You Know I Love You ... Don't You?,Howard Jones,1986,11
1101,Love Will Conquer All,Lionel Richie,1987,5
1102,Love Will Conquer All,Lionel Richie,1986,13
1103,Tasty Love,Freddie Jackson,1987,4
1104,Tasty Love,Freddie Jackson,1986,8
1105,Sweet Love,Anita Baker,1987,2
1106,Sweet Love,Anita Baker,1986,20
1107,What About Love,'Til Tuesday,1986,14
1108,Love In Siberia,Laban,1986,4
1109,Friends And Lovers,Carl Anderson & Gloria Loring,1986,21
1110,Love Walks In,Van Halen,1986,15
1111,This Love,Bad Company,1986,5
1112,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,1986,21
1113,Higher Love,Steve Winwood,1986,22
1114,Love Zone,Billy Ocean,1986,16
1115,Baby Love,Regina,1986,20
1116,Love Is The Hero,Billy Squier,1986,5
1117,Love Always,El DeBarge,1986,12
1118,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,1986,21
1119,Love Comes Quickly,Pet Shop Boys,1986,8
1120,"Man Size Love (From ""Running Scared"")",Klymaxx,1986,15
1121,Love Of A Lifetime,Chaka Khan,1986,12
1122,"Love Touch (Theme From ""Legal Eagles"")",Rod Stewart,1986,18
1123,All The Love In The World,The Outfield,1986,16
1124,Anotherloverholenyohead,Prince And The Revolution,1986,10
1125,One Way Love,TKA,1986,9
1126,Is It Love,Mr. Mister,1986,17
1127,Your Love,The Outfield,1986,22
1128,Addicted To Love,Robert Palmer,1986,22
1129,The Love Parade,The Dream Academy,1986,11
1130,Why Can't This Be Love,Van Halen,1986,16
1131,Tender Love,Force M.D.'s,1986,19
1132,Saturday Love,Cherrelle With Alexander O'Neal,1986,17
1133,Secret Lovers,Atlantic Starr,1986,22
1134,Secret Lovers,Atlantic Starr,1985,1
1135,A Little Bit Of Love (Is All It Takes),New Edition,1986,15
1136,I Think It's Love,Jermaine Jackson,1986,15
1137,The Power Of Love,Jennifer Rush,1986,13
1138,Love And Rock And Roll,Greg Kihn,1986,5
1139,A Love Bizarre,Sheila E.,1986,16
1140,A Love Bizarre,Sheila E.,1985,7
1141,He'll Never Love You (Like I Do),Freddie Jackson,1986,12
1142,He'll Never Love You (Like I Do),Freddie Jackson,1985,3
1143,Caravan Of Love,"Isley, Jasper, Isley",1986,10
1144,Caravan Of Love,"Isley, Jasper, Isley",1985,4
1145,No Frills Love,Jennifer Holliday,1986,3
1146,It's Only Love,Bryan Adams/Tina Turner,1986,8
1147,It's Only Love,Bryan Adams/Tina Turner,1985,6
1148,Love Is The Seventh Wave,Sting,1986,5
1149,Love Is The Seventh Wave,Sting,1985,8
1150,Do It For Love,Sheena Easton,1986,4
1151,Do It For Love,Sheena Easton,1985,10
1152,Part-Time Lover,Stevie Wonder,1986,4
1153,Part-Time Lover,Stevie Wonder,1985,17
1154,Love Theme From St. Elmo's Fire (Instrumental),David Foster,1986,3
1155,Love Theme From St. Elmo's Fire (Instrumental),David Foster,1985,19
1156,Saving All My Love For You,Whitney Houston,1986,2
1157,Saving All My Love For You,Whitney Houston,1985,20
1158,Lovin' Every Minute Of It,Loverboy,1986,2
1159,Lovin' Every Minute Of It,Loverboy,1985,19
1160,One Night Love Affair,Bryan Adams,1985,15
1161,So In Love,Orchestral Manoeuvres In The Dark,1985,17
1162,Discipline Of Love,Robert Palmer,1985,5
1163,Hurts To Be In Love,Gino Vannelli,1985,12
1164,Love Grammar,John Parr,1985,2
1165,The Power Of Love,Huey Lewis & The News,1985,19
1166,Hard Times For Lovers,Jennifer Holliday,1985,7
1167,Lover Come Back To Me,Dead Or Alive,1985,7
1168,Freeway Of Love,Aretha Franklin,1985,19
1169,You're In Love,Ratt,1985,2
1170,What About Love?,Heart,1985,21
1171,Down On Love,Foreigner,1985,8
1172,If You Love Somebody Set Them Free,Sting,1985,18
1173,Love And Pride,King,1985,11
1174,You Give Good Love,Whitney Houston,1985,21
1175,Wild And Crazy Love,Mary Jane Girls,1985,10
1176,Power Of Love (You Are My Lady),Air Supply,1985,6
1177,Not Enough Love In The World,Don Henley,1985,17
1178,In And Out Of Love,Bon Jovi,1985,6
1179,Only For Love,Limahl,1985,7
1180,Your Love Is King,Sade,1985,11
1181,Love Resurrection,Alison Moyet,1985,4
1182,Take No Prisoners (In The Game Of Love),Peabo Bryson,1985,6
1183,See What Love Can Do,Eric Clapton,1985,2
1184,Lucky In Love,Mick Jagger,1985,11
1185,Lost In Love,New Edition,1985,14
1186,Real Love,Dolly Parton (Duet With Kenny Rogers),1985,3
1187,You're The Only Love,Paul Hyde & Payolas,1985,4
1188,Lover Girl,Teena Marie,1985,21
1189,Lover Girl,Teena Marie,1984,3
1190,I Was Born To Love You,Freddie Mercury,1985,4
1191,Lonely In Love,Giuffria,1985,8
1192,I'm Through With Love,Eric Carmen,1985,3
1193,I Want To Know What Love Is,Foreigner,1985,17
1194,I Want To Know What Love Is,Foreigner,1984,4
1195,Easy Lover,Philip Bailey With Phil Collins,1985,17
1196,Easy Lover,Philip Bailey With Phil Collins,1984,6
1197,Lover Boy,Billy Ocean,1985,16
1198,Lover Boy,Billy Ocean,1984,5
1199,Method Of Modern Love,Daryl Hall John Oates,1985,16
1200,Method Of Modern Love,Daryl Hall John Oates,1984,3
1201,Jungle Love,The Time,1985,15
1202,Jungle Love,The Time,1984,10
1203,Scientific Love,Midnight Star,1985,7
1204,Injured In The Game of Love,Donnie Iris,1985,2
1205,Love Light In Flight,Stevie Wonder,1985,11
1206,Love Light In Flight,Stevie Wonder,1984,5
1207,Sea Of Love,The Honeydrippers,1985,8
1208,Sea Of Love,The Honeydrippers,1984,12
1209,I Just Called To Say I Love You,Stevie Wonder,1985,6
1210,I Just Called To Say I Love You,Stevie Wonder,1984,20
1211,Penny Lover,Lionel Richie,1985,5
1212,Penny Lover,Lionel Richie,1984,13
1213,(Pride) In The Name Of Love,U2,1985,5
1214,(Pride) In The Name Of Love,U2,1984,10
1215,Caribbean Queen (No More Love On The Run),Billy Ocean,1985,5
1216,Caribbean Queen (No More Love On The Run),Billy Ocean,1984,21
1217,Supernatural Love,Donna Summer,1984,5
1218,Love Again,John Denver & Sylvie Vartan,1984,4
1219,What's Love Got To Do With It,Tina Turner,1984,28
1220,Medley: Love Songs Are Back Again,Band Of Gold,1984,7
1221,Love Kills,Freddie Mercury,1984,6
1222,The Last Time I Made Love,Joyce Kennedy & Jeffrey Osborne,1984,12
1223,In The Name Of Love,Ralph MacDonald With Bill Withers,1984,10
1224,(what) In The Name Of Love,Naked Eyes,1984,12
1225,Jump (for My Love),The Pointer Sisters,1984,24
1226,"The More You Live, The More You Love",A Flock Of Seagulls,1984,9
1227,Two Sides Of Love,Sammy Hagar,1984,12
1228,Almost Paradise...Love Theme From Footloose,Mike Reno And Ann Wilson,1984,20
1229,Next Love,Deniece Williams,1984,4
1230,She Loves My Car,Ronnie Milsap,1984,4
1231,Boys Do Fall In Love,Robin Gibb,1984,12
1232,Farewell My Summer Love,Michael Jackson,1984,12
1233,Still Loving You,Scorpions,1984,6
1234,Loverboy,Karen Kamon,1984,2
1235,A Little Love,Juice Newton,1984,10
1236,Thin Line Between Love And Hate,Pretenders,1984,5
1237,Love Of The Common People,Paul Young,1984,11
1238,To All The Girls I've Loved Before,Julio Iglesias And Willie Nelson,1984,21
1239,When We Make Love,Alabama,1984,10
1240,What Is Love,Howard Jones,1984,13
1241,Love Will Show Us How,Christine McVie,1984,10
1242,Too Young To Fall In Love,Motley Crue,1984,2
1243,Love Somebody,Rick Springfield,1984,16
1244,Gotta Give A Little Love (Ten Years Later),Timmy Thomas,1984,3
1245,Little Bit Of Love,Dwight Twilley,1984,4
1246,Love Me In A Special Way,Debarge,1984,11
1247,The Language Of Love,Dan Fogelberg,1984,14
1248,Jimmy Loves Maryann,Josie Cotton,1984,4
1249,Love Has Finally Come At Last,Bobby Womack & Patti LaBelle,1984,5
1250,Unfaithfully Yours (Our Love),Stephen Bishop,1984,3
1251,Do You Love Me,Andy Fraser,1984,5
1252,You're Looking Like Love To Me,Peabo Bryson & Roberta Flack,1984,9
1253,You're Looking Like Love To Me,Peabo Bryson & Roberta Flack,1983,2
1254,I Still Can't Get Over Loving You,Ray Parker Jr.,1984,11
1255,I Still Can't Get Over Loving You,Ray Parker Jr.,1983,8
1256,Love Is A Battlefield,Pat Benatar,1984,7
1257,Love Is A Battlefield,Pat Benatar,1983,15
1258,Love Has A Mind Of Its Own,Donna Summer,1984,4
1259,Touch A Four Leaf Clover,Atlantic Starr,1984,3
1260,Touch A Four Leaf Clover,Atlantic Starr,1983,4
1261,"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,1984,3
1262,"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,1983,26
1263,Making Love Out Of Nothing At All,Air Supply,1984,2
1264,Making Love Out Of Nothing At All,Air Supply,1983,23
1265,Telefone (long Distance Love Affair),Sheena Easton,1984,2
1266,Telefone (long Distance Love Affair),Sheena Easton,1983,20
1267,I Am Love,Jennifer Holliday,1983,11
1268,Send Her My Love,Journey,1983,15
1269,If Love Should Go,Streets,1983,5
1270,Modern Love,David Bowie,1983,13
1271,Love Is A Stranger,Eurythmics,1983,13
1272,Lady Down On Love,Alabama,1983,6
1273,No One Can Love You More Than Me,Melissa Manchester,1983,4
1274,What Am I Gonna Do (I'm So In Love With You),Rod Stewart,1983,12
1275,It Must Be Love,Madness,1983,12
1276,Should I Love You,Cee Farrow,1983,6
1277,Unconditional Love,Donna Summer,1983,8
1278,Lady Love Me (One More Time),George Benson,1983,13
1279,Lawyers In Love,Jackson Browne,1983,15
1280,Somebody's Gonna Love You,Lee Greenwood,1983,2
1281,Hot Girls In Love,Loverboy,1983,16
1282,Don't You Know How Much I Love You,Ronnie Milsap,1983,7
1283,Blame It On Love,Smokey Robinson & Barbara Mitchell,1983,12
1284,All This Love,Debarge,1983,19
1285,Stop In The Name Of Love,The Hollies,1983,12
1286,Til You And Your Lover Are Lovers Again,Engelbert Humperdinck,1983,5
1287,Waiting For Your Love,Toto,1983,6
1288,My Love,Lionel Richie,1983,16
1289,That's Love,Jim Capaldi,1983,13
1290,Inside Love (so Personal),George Benson,1983,10
1291,Love Never Fails,Greg Kihn Band,1983,6
1292,Love Is The Key,Maze Featuring Frankie Beverly,1983,5
1293,Love On Your Side,Thompson Twins,1983,9
1294,Love's Got A Line On You,Scandal Featuring Patty Smyth,1983,13
1295,Gimme All Your Lovin,ZZ Top,1983,12
1296,You Can't Run From Love,Eddie Rabbitt,1983,8
1297,Whatever Happened To Old Fashioned Love,B.J. Thomas,1983,2
1298,Minimum Love,Mac McAnally,1983,12
1299,Make Love Stay,Dan Fogelberg,1983,16
1300,Love My Way,Psychedelic Furs,1983,10
1301,Fall In Love With Me,"Earth, Wind & Fire",1983,16
1302,Love On My Mind Tonight,The Temptations,1983,3
1303,Your Love Is Driving Me Crazy,Sammy Hagar,1983,16
1304,Your Love Is Driving Me Crazy,Sammy Hagar,1982,3
1305,Come Give Your Love To Me,Janet Jackson,1983,9
1306,You Can't Hurry Love,Phil Collins,1983,13
1307,You Can't Hurry Love,Phil Collins,1982,8
1308,Don't Tell Me You Love Me,Night Ranger,1983,11
1309,Betcha She Don't Love You,Evelyn King,1983,11
1310,What Love Is,Marty Balin,1983,6
1311,Love Me Again,The John Hall Band,1983,10
1312,Space Age Love Song,A Flock Of Seagulls,1983,11
1313,Space Age Love Song,A Flock Of Seagulls,1982,7
1314,Too Much Love To Hide,"Crosby, Stills & Nash",1983,6
1315,Little Thing Called Love,Neil Young,1983,6
1316,Love In Store,Fleetwood Mac,1983,9
1317,Love In Store,Fleetwood Mac,1982,5
1318,The Look Of Love (Part One),ABC,1983,9
1319,The Look Of Love (Part One),ABC,1982,16
1320,What If (I Said I Love You),Unipop,1983,7
1321,What If (I Said I Love You),Unipop,1982,1
1322,Young Love,Janet Jackson,1983,4
1323,Young Love,Janet Jackson,1982,2
1324,On The Wings Of Love,Jeffrey Osborne,1983,4
1325,On The Wings Of Love,Jeffrey Osborne,1982,14
1326,Love Me Tomorrow,Chicago,1983,1
1327,Love Me Tomorrow,Chicago,1982,14
1328,A Love Song,Kenny Rogers,1982,10
1329,Wake Up My Love,George Harrison,1982,5
1330,The One You Love,Glenn Frey,1982,17
1331,Love Come Down,Evelyn King,1982,16
1332,So Much In Love,Timothy B. Schmit,1982,8
1333,Young Love,Air Supply,1982,9
1334,Tainted Love,Soft Cell,1982,43
1335,I Will Always Love You,Dolly Parton,1982,14
1336,Think I'm In Love,Eddie Money,1982,17
1337,Love Is In Control (Finger On The Trigger),Donna Summer,1982,18
1338,Love Will Turn You Around,Kenny Rogers,1982,17
1339,All Of My Love,Bobby Caldwell,1982,6
1340,Never Been In Love,Randy Meisner,1982,11
1341,Love Or Let Me Be Lonely,Paul Davis,1982,10
1342,Love Plus One,Haircut One Hundred,1982,17
1343,If The Love Fits Wear It,Leslie Pearl,1982,16
1344,Love's Been A Little Bit Hard On Me,Juice Newton,1982,17
1345,If You Want My Love,Cheap Trick,1982,11
1346,Loveline,Dr. Hook,1982,10
1347,Crimson And Clover,Joan Jett & the Blackhearts,1982,15
1348,Every Love Song,Greg Kihn Band,1982,2
1349,Into My Love,Greg Guidry,1982,2
1350,Making Love,Roberta Flack,1982,21
1351,Hope You Love Me Like You Say You Do,Huey Lewis & The News,1982,11
1352,Right Kind Of Love,Quarterflash,1982,8
1353,Friends In Love,Dionne Warwick & Johnny Mathis,1982,13
1354,'65 Love Affair,Paul Davis,1982,20
1355,How Can You Love Me,Ambrosia,1982,4
1356,I Love Rock 'N Roll,Joan Jett & the Blackhearts,1982,20
1357,Old Fashioned Love,Smokey Robinson,1982,9
1358,Do You Believe In Love,Huey Lewis & The News,1982,17
1359,Put Away Your Love,Alessi,1982,4
1360,I'm In Love Again,Pia Zadora,1982,9
1361,Fool For Your Love,Jimmy Hall,1982,3
1362,Genius Of Love,Tom Tom Club,1982,17
1363,Loving You,Chris Rea,1982,3
1364,Love In The First Degree,Alabama,1982,14
1365,Love In The First Degree,Alabama,1981,7
1366,I'll Fall In Love Again,Sammy Hagar,1982,10
1367,Turn Your Love Around,George Benson,1982,12
1368,Turn Your Love Around,George Benson,1981,10
1369,Love Is Alright Tonite,Rick Springfield,1982,12
1370,Love Is Alright Tonite,Rick Springfield,1981,4
1371,Love Is Like A Rock,Donnie Iris,1982,12
1372,Love Is Like A Rock,Donnie Iris,1981,2
1373,Natural Love,Petula Clark,1982,6
1374,Never Thought I'd Fall In Love,The Spinners,1982,2
1375,Here To Love You,The Doobie Brothers,1982,5
1376,Circle Of Love,The Steve Miller Band,1982,7
1377,Sea Of Love,Del Shannon,1982,9
1378,Sea Of Love,Del Shannon,1981,3
1379,Perhaps Love,Placido Domingo & John Denver,1982,7
1380,Why Do Fools Fall In Love,Diana Ross,1982,9
1381,Why Do Fools Fall In Love,Diana Ross,1981,11
1382,Keeping Our Love Alive,Henry Paul Band,1982,7
1383,Keeping Our Love Alive,Henry Paul Band,1981,3
1384,Could It Be Love,Jennifer Warnes,1982,6
1385,Could It Be Love,Jennifer Warnes,1981,4
1386,My Kinda Lover,Billy Squier,1982,5
1387,My Kinda Lover,Billy Squier,1981,5
1388,Falling In Love,Balance,1982,5
1389,Falling In Love,Balance,1981,6
1390,Let Me Love You Once,Greg Lake,1982,4
1391,Let Me Love You Once,Greg Lake,1981,6
1392,Can't Hold Back (Your Loving),Kano,1982,4
1393,Can't Hold Back (Your Loving),Kano,1981,1
1394,We're In This Love Together,Al Jarreau,1982,2
1395,We're In This Love Together,Al Jarreau,1981,22
1396,Endless Love,Diana Ross & Lionel Richie,1982,2
1397,Endless Love,Diana Ross & Lionel Richie,1981,25
1398,Sharing The Love,Rufus With Chaka Khan,1982,1
1399,Sharing The Love,Rufus With Chaka Khan,1981,4
1400,Share Your Love With Me,Kenny Rogers,1981,15
1401,Atlanta Lady (Something About Your Love),Marty Balin,1981,13
1402,La La Means I Love You,Tierra,1981,6
1403,Love All The Hurt Away,Aretha Franklin And George Benson,1981,10
1404,Cool Love,Pablo Cruise,1981,17
1405,I'm In Love,Evelyn King,1981,14
1406,Love On A Two Way Street,Stacy Lattisaw,1981,17
1407,You've Got A Good Love Coming,Van Stephenson,1981,4
1408,I'm Gonna Love Her For Both Of Us,Meat Loaf,1981,3
1409,Falling In Love Again,Michael Stanley Band,1981,8
1410,Dedicated To The One I Love,Bernadette Peters,1981,8
1411,Everlasting Love,Rex Smith/Rachel Sweet,1981,13
1412,The One That You Love,Air Supply,1981,19
1413,A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,1981,27
1414,I Love My Truck,Glen Campbell,1981,3
1415,A Woman In Love (It's Not Me),Tom Petty And The Heartbreakers,1981,6
1416,I Love You,Climax Blues Band,1981,27
1417,What Are We Doin' In Love,Dottie West with Kenny Rogers,1981,20
1418,Fool In Love With You,Jim Photoglo,1981,16
1419,Love Light,Yutaka,1981,3
1420,It Hurts To Be In Love,Dan Hartman,1981,5
1421,Ready For Love,Silverado,1981,3
1422,Yearning For Your Love,The Gap Band,1981,7
1423,Lovin' The Night Away,The Dillman Band,1981,9
1424,Love You Like I Never Loved Before,John O'Banion,1981,13
1425,You're So Easy To Love,Tommy James,1981,7
1426,I Loved 'em Every One,T.G. Sheppard,1981,14
1427,Keep On Loving You,REO Speedwagon,1981,23
1428,Keep On Loving You,REO Speedwagon,1980,5
1429,But You Know I Love You,Dolly Parton,1981,10
1430,It's A Love Thing,The Whispers,1981,15
1431,The Party's Over (Hopelessly In Love),Journey,1981,13
1432,I Love A Rainy Night,Eddie Rabbitt,1981,20
1433,I Love A Rainy Night,Eddie Rabbitt,1980,8
1434,A Little In Love,Cliff Richard,1981,19
1435,A Little In Love,Cliff Richard,1980,3
1436,Lover,Michael Stanley Band,1981,6
1437,Lovers After All,Melissa Manchester & Peabo Bryson,1981,9
1438,Giving It Up For Your Love,Delbert McClinton,1981,15
1439,Giving It Up For Your Love,Delbert McClinton,1980,4
1440,And Love Goes On,"Earth, Wind & Fire",1981,7
1441,Love On The Rocks,Neil Diamond,1981,11
1442,Love On The Rocks,Neil Diamond,1980,9
1443,Don't You Know What Love Is,Touch,1981,6
1444,He Can't Love You,Michael Stanley Band,1981,10
1445,He Can't Love You,Michael Stanley Band,1980,6
1446,Love On The Airwaves,Night,1981,3
1447,Who's Making Love,Blues Brothers,1981,9
1448,Who's Making Love,Blues Brothers,1980,2
1449,Long Time Lovin' You,McGuffey Lane,1981,7
1450,Love T.K.O.,Teddy Pendergrass,1981,8
1451,Love T.K.O.,Teddy Pendergrass,1980,5
1452,I Need Your Lovin',Teena Marie,1981,8
1453,I Need Your Lovin',Teena Marie,1980,6
1454,Cold Love,Donna Summer,1981,7
1455,Cold Love,Donna Summer,1980,5
1456,Woman In Love,Barbra Streisand,1981,7
1457,Woman In Love,Barbra Streisand,1980,17
1458,You've Lost That Lovin' Feeling,Daryl Hall John Oates,1981,6
1459,You've Lost That Lovin' Feeling,Daryl Hall John Oates,1980,14
1460,Need Your Loving Tonight,Queen,1981,6
1461,Need Your Loving Tonight,Queen,1980,5
1462,Gotta Have More Love,Climax Blues Band,1981,5
1463,Gotta Have More Love,Climax Blues Band,1980,7
1464,Never Knew Love Like This Before,Stephanie Mills,1981,4
1465,Never Knew Love Like This Before,Stephanie Mills,1980,21
1466,Easy Love,Dionne Warwick,1981,4
1467,Easy Love,Dionne Warwick,1980,6
1468,Lovely One,The Jacksons,1981,4
1469,Lovely One,The Jacksons,1980,14
1470,Without Your Love,Roger Daltrey,1981,3
1471,Without Your Love,Roger Daltrey,1980,16
1472,I'm Happy That Love Has Found You,Jimmy Hall,1981,3
1473,I'm Happy That Love Has Found You,Jimmy Hall,1980,14
1474,Spend The Night In Love,The 4 Seasons,1981,2
1475,Spend The Night In Love,The 4 Seasons,1980,3
1476,Real Love,The Doobie Brothers,1980,16
1477,All Out Of Love,Air Supply,1980,27
1478,Lookin' For Love,Johnny Lee,1980,21
1479,Love X Love,George Benson,1980,6
1480,Let's Be Lovers Again,Eddie Money (with Valerie Carter),1980,6
1481,Someone That I Used To Love,Natalie Cole,1980,21
1482,I Love Women,Jim Hurt,1980,4
1483,Love Theme From Shogun (Mariko's Theme),Meco,1980,4
1484,I've Just Begun To Love You,Dynasty,1980,6
1485,Let My Love Open The Door,Pete Townshend,1980,19
1486,You're Supposed To Keep Your Love For Me,Jermaine Jackson,1980,13
1487,More Love,Kim Carnes,1980,19
1488,Old-Fashion Love,Commodores,1980,16
1489,First Time Love,Livingston Taylor,1980,10
1490,True Love Ways,Mickey Gilley,1980,7
1491,Cupid/I've Loved You For A Long Time,The Spinners,1980,19
1492,Love The World Away,Kenny Rogers,1980,12
1493,Gimme Some Lovin',Blues Brothers,1980,14
1494,Let Me Love You Tonight,Pure Prairie League,1980,17
1495,Love That Got Away,Firefall,1980,9
1496,That Lovin' You Feelin' Again,Roy Orbison & Emmylou Harris,1980,8
1497,One More Time For Love,Billy Preston & Syreeta,1980,10
1498,A Lover's Holiday,Change,1980,13
1499,Don't Fall In Love With A Dreamer,Kenny Rogers with Kim Carnes,1980,19
1500,Lost In Love,Air Supply,1980,23
1501,We Live For Love,Pat Benatar,1980,14
1502,We Were Meant To Be Lovers,Photoglo,1980,14
1503,Is This Love,Pat Travers Band,1980,7
1504,Love Stinks,The J. Geils Band,1980,12
1505,Coming Down From Love,Bobby Caldwell,1980,10
1506,The Seduction (Love Theme),James Last Band,1980,13
1507,Don't Say Goodnight (It's Time For Love) (Parts 1 & 2),The Isley Brothers,1980,9
1508,Love And Loneliness,The Motors,1980,5
1509,Real Love,The Cretones,1980,6
1510,Fool For A Pretty Face (Hurt By Love),Humble Pie,1980,7
1511,Dancin' Like Lovers,Mary Macgregor,1980,4
1512,Hold On To My Love,Jimmy Ruffin,1980,14
1513,I Pledge My Love,Peaches & Herb,1980,19
1514,Crazy Little Thing Called Love,Queen,1980,20
1515,Crazy Little Thing Called Love,Queen,1979,2
1516,I Was Looking For Someone To Love,Leif Garrett,1980,5
1517,Can't Put A Price On Love,The Knack,1980,6
1518,The Good Lord Loves You,Neil Diamond,1980,6
1519,Three Times In Love,Tommy James,1980,16
1520,Love On A Shoestring,Captain & Tennille,1980,7
1521,High On Your Love,Debbie Jacobs,1980,4
1522,Where Does The Lovin' Go,David Gates,1980,8
1523,In It For Love,England Dan & John Ford Coley,1980,4
1524,Loving You With My Eyes,Starland Vocal Band,1980,6
1525,Us And Love (We Go Together),Kenny Nolan,1980,8
1526,Love's Only Love,Engelbert,1980,2
1527,Love On The Phone,Suzanne Fellini,1980,2
1528,When A Man Loves A Woman,Bette Midler,1980,10
1529,"Let Me Go, Love",Nicolette Larson & Michael McDonald,1980,11
1530,I Shoulda Loved Ya,Narada Michael Walden,1980,6
1531,I Wanna Be Your Lover,Prince,1980,10
1532,I Wanna Be Your Lover,Prince,1979,6
1533,Send One Your Love,Stevie Wonder,1980,9
1534,Send One Your Love,Stevie Wonder,1979,9
1535,Do You Love What You Feel,Rufus And Chaka Khan,1980,9
1536,Do You Love What You Feel,Rufus And Chaka Khan,1979,6
1537,Looks Like Love Again,Dann Rogers,1980,8
1538,Looks Like Love Again,Dann Rogers,1979,3
1539,Goodnight My Love,Mike Pinera,1980,8
1540,Better Love Next Time,Dr. Hook,1980,7
1541,Better Love Next Time,Dr. Hook,1979,12
1542,You Know That I Love You,Santana,1980,7
1543,You Know That I Love You,Santana,1979,6
1544,Got To Love Somebody,Sister Sledge,1980,5
1545,Holdin' On For Dear Love,Lobo,1980,6
1546,Holdin' On For Dear Love,Lobo,1979,2
1547,She's In Love With You,Suzi Quatro,1980,5
1548,She's In Love With You,Suzi Quatro,1979,6
1549,I'd Rather Leave While I'm In Love,Rita Coolidge,1980,3
1550,I'd Rather Leave While I'm In Love,Rita Coolidge,1979,7
1551,I Need A Lover,John Cougar,1980,2
1552,I Need A Lover,John Cougar,1979,12
1553,Mistrusted Love,Mistress,1980,1
1554,Mistrusted Love,Mistress,1979,8
1555,Love Pains,Yvonne Elliman,1980,1
1556,Love Pains,Yvonne Elliman,1979,12
1557,I'll Never Love This Way Again,Dionne Warwick,1979,24
1558,Victim Of Love,Elton John,1979,10
1559,My Forbidden Lover,Chic,1979,9
1560,"Lovin', Touchin', Squeezin'",Journey,1979,20
1561,Don't Drop My Love,Anita Ward,1979,5
1562,Where Were You When I Was Falling In Love,Lobo,1979,17
1563,After The Love Has Gone,"Earth, Wind & Fire",1979,17
1564,"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,1979,15
1565,I've Never Been In Love,Suzi Quatro,1979,8
1566,I Do Love You,GQ,1979,17
1567,What Cha Gonna Do With My Lovin',Stephanie Mills,1979,14
1568,Sweet Summer Lovin',Dolly Parton,1979,3
1569,Mama Can't Buy You Love,Elton John,1979,18
1570,For Love,Pousette-Dart Band,1979,4
1571,When You're In Love With A Beautiful Woman,Dr. Hook,1979,25
1572,Got To Give In To Love,Bonnie Boyer,1979,8
1573,I Was Made For Lovin' You,KISS,1979,16
1574,You Gonna Make Me Love Somebody Else,The Jones Girls,1979,11
1575,This Is Love,Oak,1979,7
1576,You've Lost That Lovin' Feelin',Long John Baldry & Kathi MacDonald,1979,3
1577,Shine A Little Love,Electric Light Orchestra,1979,15
1578,Love Me Tonight,Blackjack,1979,6
1579,Love You Inside Out,Bee Gees,1979,19
1580,We've Got Love,Peaches & Herb,1979,8
1581,Chuck E.'s In Love,Rickie Lee Jones,1979,15
1582,Here I Go (Fallin' In Love Again),Frannie Golde,1979,3
1583,Make Love To Me,Helen Reddy,1979,10
1584,If You Can't Give Me Love,Suzi Quatro,1979,8
1585,Ain't Love A Bitch,Rod Stewart,1979,12
1586,Love Is The Answer,England Dan & John Ford Coley,1979,18
1587,Love Takes Time,Orleans,1979,15
1588,(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,1979,16
1589,It Must Be Love,Alton McClain & Destiny,1979,12
1590,Star Love,Cheryl Lynn,1979,10
1591,I Want Your Love,Chic,1979,19
1592,My Love Is Music,Space,1979,7
1593,Love Ballad,George Benson,1979,15
